id	title	description	link	price	condition	availability	image_link	tax	shipping_weight	shipping	google_product_category	product_type	gtin
celebird-eg-media-001	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://www.example.com/image/feynman.png	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820
celebird-eg-media-011	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://www.example.com/image/feynman.png	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820
celebird-eg-media-021	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://www.example.com/image/feynman.png	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820
celebird-eg-media-031	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://www.example.com/image/feynman.png	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820
celebird-eg-media-041	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://www.example.com/image/feynman.png	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820
celebird-eg-media-051	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://www.example.com/image/feynman.png	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820
celebird-eg-media-061	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://www.example.com/image/feynman.png	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820
celebird-eg-media-071	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://www.example.com/image/feynman.png	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820
celebird-eg-media-081	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://www.example.com/image/feynman.png	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820
celebird-eg-media-091	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://www.example.com/image/feynman.png	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820
